Archivo      Tiempo          
-----------------------------
002.html     00:00:00.0112823
003.html     00:00:00.0009537
004.html     00:00:00.0011015
005.html     00:00:00.0053579
006.html     00:00:00.0006530
007.html     00:00:00.0102176
008.html     00:00:00.0013914
009.html     00:00:00.0049318
010.html     00:00:00.0018904
011.html     00:00:00.0067054
012.html     00:00:00.0016036
013.html     00:00:00.0011088
014.html     00:00:00.0011414
015.html     00:00:00.0011624
016.html     00:00:00.0017779
017.html     00:00:00.0011249
018.html     00:00:00.0012889
019.html     00:00:00.0115506
020.html     00:00:00.0011822
021.html     00:00:00.0018588
022.html     00:00:00.0058606
023.html     00:00:00.0009873
024.html     00:00:00.0018629
025.html     00:00:00.0015833
026.html     00:00:00.0027156
027.html     00:00:00.0158697
028.html     00:00:00.0025617
029.html     00:00:00.0087113
030.html     00:00:00.0013776
031.html     00:00:00.0022569
032.html     00:00:00.0008583
033.html     00:00:00.0014672
034.html     00:00:00.0034086
035.html     00:00:00.0016831
036.html     00:00:00.0013315
037.html     00:00:00.0050611
038.html     00:00:00.0082444
039.html     00:00:00.0021444
040.html     00:00:00.0051861
041.html     00:00:00.0015279
042.html     00:00:00.0093098
043.html     00:00:00.0347923
044.html     00:00:00.0058053
045.html     00:00:00.0031296
046.html     00:00:00.0047107
047.html     00:00:00.0023664
048.html     00:00:00.0045869
049.html     00:00:00.0042057
050.html     00:00:00.0072101
051.html     00:00:00.0068828
052.html     00:00:00.0016016
053.html     00:00:00.0008536
054.html     00:00:00.0011378
055.html     00:00:00.0011204
056.html     00:00:00.0048860
057.html     00:00:00.0011315
058.html     00:00:00.0090150
059.html     00:00:00.0031057
060.html     00:00:00.0018704
061.html     00:00:00.0013405
062.html     00:00:00.0012805
063.html     00:00:00.0009367
064.html     00:00:00.0030068
065.html     00:00:00.0009997
066.html     00:00:00.0035498
067.html     00:00:00.0014300
068.html     00:00:00.0013729
069.html     00:00:00.0038312
070.html     00:00:00.0018730
071.html     00:00:00.0011259
072.html     00:00:00.0062646
073.html     00:00:00.0031804
074.html     00:00:00.0025703
075.html     00:00:00.0026927
076.html     00:00:00.0120975
077.html     00:00:00.0009348
078.html     00:00:00.0020433
079.html     00:00:00.0016476
080.html     00:00:00.0040587
081.html     00:00:00.0011050
082.html     00:00:00.0039107
083.html     00:00:00.0012139
084.html     00:00:00.0014544
085.html     00:00:00.0013357
086.html     00:00:00.0018133
087.html     00:00:00.0017362
088.html     00:00:00.0014644
089.html     00:00:00.0011897
090.html     00:00:00.0036656
091.html     00:00:00.0023067
092.html     00:00:00.0010699
093.html     00:00:00.0008125
094.html     00:00:00.0008884
095.html     00:00:00.0020009
096.html     00:00:00.0011800
097.html     00:00:00.0013572
098.html     00:00:00.0017383
099.html     00:00:00.0059493
100.html     00:00:00.0010092
101.html     00:00:00.0039603
102.html     00:00:00.0008522
103.html     00:00:00.0012482
104.html     00:00:00.0021690
105.html     00:00:00.0020436
106.html     00:00:00.0023291
107.html     00:00:00.0010956
108.html     00:00:00.0012275
109.html     00:00:00.0011755
110.html     00:00:00.0010060
111.html     00:00:00.0009296
112.html     00:00:00.0018050
113.html     00:00:00.0009190
114.html     00:00:00.0017791
115.html     00:00:00.0016361
116.html     00:00:00.0011157
117.html     00:00:00.0040216
118.html     00:00:00.0063106
119.html     00:00:00.0028817
120.html     00:00:00.0010363
121.html     00:00:00.0012819
122.html     00:00:00.0016253
123.html     00:00:00.0012434
124.html     00:00:00.0031298
125.html     00:00:00.0013867
126.html     00:00:00.0012775
127.html     00:00:00.0009312
128.html     00:00:00.0009466
129.html     00:00:00.0015096
130.html     00:00:00.0034591
131.html     00:00:00.0012843
132.html     00:00:00.0017452
133.html     00:00:00.0052299
134.html     00:00:00.0015649
135.html     00:00:00.0010527
136.html     00:00:00.0016224
137.html     00:00:00.0144396
138.html     00:00:00.0010019
139.html     00:00:00.0020925
140.html     00:00:00.0020023
141.html     00:00:00.0024286
142.html     00:00:00.0016585
143.html     00:00:00.0012687
144.html     00:00:00.0020266
145.html     00:00:00.0017571
146.html     00:00:00.0047474
147.html     00:00:00.0031958
148.html     00:00:00.0008456
149.html     00:00:00.0011559
150.html     00:00:00.0054905
151.html     00:00:00.0020262
152.html     00:00:00.0050666
153.html     00:00:00.0009957
